" ???Minu-a laula-ttaa mutten tieda mika","me.part sing.caus but.not.3sg know what.nom","`Something makes me feel like singing but I don’t know what.’"
"Minu- laula-tta mutten tienda miksi ","me.part sing.caus but.not.3sg know why","`I feel like singing but I don’t know why’"
"Minuaa pelottaa mutten tienda mika.","me.part frighten.caus.3sg but.not.3sg know what.nom","`Something frightens me but I dont know what.’"
"*Maijaa laulattaa tarkoituksella.","Maija.part sing.caus.3sg on.purpose","`Maija feels like singing on purpose.’"
"*Maijaa pelottaa tarkoituksella.","Maija.part frighten.caus.3sg on.purpose","`I am frightened on purpose.’"
"*Maijaa mukuttaa tarkoituksella","Maija.part sleep.caus.3sg on.purpose","`Maija feels like sleeping on purpose.’"
"Ketaa nukutta?","Who-part sleep.caus?","`Who feels like sleeping?’"
"*Mikaa Maijaa theettaa? ","what maija.part does.caus.3sg.","`What does Maijaa feel like doing?’"
"Tahda ","do",""
"Mika Maijaa laulatta?","what Maija.part sing.caus.3sg","`What makes Maija feel like singing?’"
"Maijaa laulatti minuutti","Maija.part sing.caus.3sg.pst minute","`Maija felt like singing for a minute.’"
"Maijaa laulatta minuutin paasta","Maija.part sing.caus.3sg minute.acc in","`Maija feels like singing in a minute.’"
"Laulattaako maijaa?","sing.caus.3sg.?? Maija.part","`Does Maija feel like singing?’"
"Maijaa alko laulatta.","Maija.part start sing.caus","`Maija started to feel like singing.’"
"*Maijaa yritti laulattaa.","Maija.part try.3sg.pst sing.caus.3sg","`Maija tried to feel like siging.’"
"Maijaa lakkasi laulattamasta ","Maija.part stop.3sg.pst sing.caus.inf","`Maija stopped feeling like singing.’"
"Uskon Maijaa laulattavaa ","believe.1sg Maija.part sing.caus.inf.3sg","`I believe Maija to feel like singing.’"
"*uskon maijan laulatavaa","believe.1sg Maija.gen sing.caus.inf.3sg","`I believe Maija to feel like siging.’"
"?Maijaa uskotanaan laulattvan.","Maija.part believe.pass.3sg. sing.caus.inf.3sg","`Maijaa is believed to feel like singing.’"
"Maijaa vaitetaan laulattavan","Maija.part believe.pass sing.caus.inf.3sg","`Maija is believed to feel like singing.’"
"Maijaa naytaa laulattavan","Maija.part seem.3sg sing.caus.inf.acc","`Maija seems to feel like singing.’"
"Maijaa laulatti kun he alkoivet soittaa musiikkia.","Maija.part sing.caus.3sg.past when they start play music","`Maijaa felt like singing when they started to play music.’"
"Maijaa laulatti uudestaan (taas)","Maija.part sing.caus.3sg.pst again","`Maija felt like singing again.’"
