4\1\2009, ???Minu-a laula-ttaa mutten tieda mika,me-part sing-caus.3SG but.not.3sg know what.nom,`Something makes me feel like singing but I don’t know what.’,,,,Judgements differ from Causation and External Arguments Pylkkanen,Finnish
4\1\2009,Minu-a laula-tta mutten tienda miksi ,me-PART sing-CAUS but.not.3sg know why,`I feel like singing but I don’t know why’,Anne provided thsi as correction to 1,,,,Finnish
4\1\2009,Minuaa pelottaa mutten tienda mika.,me-PART frighten-CAUS.3sg but.not.3sg know what.nom,`Something frightens me but I dont know what.’,Anne provided this an a good alt to 1This may be evidence that this isn’t the same as the caus experiencers,,Psych Pred,,Finnish
4\1\2009,*Maijaa laulattaa tarkoituksella.,Maija-PART sing-CAUS.3sg on.purpose,`Maija feels like singing on purpose.’,,,Intentional Adverb,Causation and External Arguments Pylkkanen,Finnish
4\1\2009,*Maijaa pelo-ttaa tarkoituksella.,Maija-PART frighten-CAUS.3sg on.purpose,`I am frightened on purpose.’,,,Psych PredIntentional Adverb,,Finnish
4\1\2009,*Maijaa muku-ttaa tarkoituksella,Maija-PART sleep-CAUS.3sg on.purpose,`Maija feels like sleeping on purpose.’,,,intentional adverb,,Finnish
4\1\2009,Ketaa nuku-tta?,Who-part sleep-CAUS?,`Who feels like sleeping?’,,,wh question,,Finnish
4\1\2009,*Mikaa Maijaa thee-ttaa? ,what maija-PART does-CAUS.3sg.,`What does Maijaa feel like doing?’,,,wh question,,Finnish
4\1\2009,Tahda ,do,,,,,,Finnish
4\1\2009,Mika Maijaa laula-tta?,what Maija-PART sing-CAUS.3sg,`What makes Maija feel like singing?’, this is unexpected... it should mean `What made Maija sing?’,,wh question,,Finnish
4\1\2009,Maijaa laulatti minuutti,Maija-PART sing-CAUS.3sg.pst minute,`Maija felt like singing for a minute.’, (completed aspect)not sure what the case on minute is,,aspect,,Finnish
4\1\2009,Maijaa laula-tta minuutin paasta,Maija-PART sing-CAUS.3sg minute.acc in,`Maija feels like singing in a minute.’,"As I recall, this had future interpretationMaija feels like siging after a minute passes",,aspect,,Finnish
4\1\2009,Laula-ttaako maijaa?,sing-CAUS.3sg.?? Maija-PART,`Does Maija feel like singing?’,,,Yes-No Question,,Finnish
4\1\2009,Maijaa alko laula-tta.,Maija-PART start sing-CAUS,`Maija started to feel like singing.’,(she says raising),,Raising,Anne,Finnish
4\1\2009,*Maijaa yritti laula-ttaa.,Maija-PART try.3sg.pst sing-CAUS.3sg,`Maija tried to feel like siging.’,,,,,Finnish
4\1\2009,Maijaa lakkasi laula-ttamasta ,Maija-PART stop.3sg.pst sing-CAUS.inf,`Maija stopped feeling like singing.’,masta is a infinitive form,,impulsative embedded,,Finnish
4\1\2009,Uskon Maijaa laula-ttavaa ,believe.1sg Maija-PART sing-CAUS.inf.3sg,`I believe Maija to feel like singing.’,(va inifinitive),,ECM,,Finnish
